"ag_id","groupname","year","ag_irrelevant_flag","ag_monop_flag","ag_dominant_flag","ln_ag_area_sqkm","ag_pop","ln_ag_pop","ag_egip_share","ag_excl_share","ag_rlvt_share","ag_irrlvt_share","ag_up2jun_share","ag_excl_incr","ag_excl_decr","ag_onset_ko_flag","ag_onset_ko_terr_flag","ag_onset_ko_gov_flag","ag_incidence_flag","ag_incidence_terr_flag","ag_incidence_gov_flag","ag_incidence_flag_lag","ag_incidence_terr_flag_lag","ag_incidence_gov_flag_lag","ag_warhist","ag_peaceyears","ag_warhist_terr","ag_peaceyears_terr","ag_warhist_gov","ag_peaceyears_gov"
14003000,"Indigenous peoples",1969,1,0,0,18.5606191917252,373990,5.57285998989331,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,23
16502000,"Afro-Uruguayans",1973,1,0,0,,220070,5.34256084345083,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
16001000,"Whites/mestizos",1959,0,1,0,18.4441931567997,19689990,7.29424549557205,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,13
20002000,"Scots",1952,0,0,0,16.8307870868648,4792000,6.68051680938126,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6
20002000,"Scots",1953,0,0,0,16.8307870868648,4807490,6.68191838954092,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7
15001000,"Whites/mestizos",1966,0,1,0,17.6007579516762,2110610,6.32440799148123,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,20
20002000,"Scots",1954,0,0,0,16.8307870868648,4823840,6.68339289443278,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8
14003000,"Indigenous peoples",1970,1,0,0,18.5606191917252,384310,5.58468168524061,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24
16502000,"Afro-Uruguayans",1974,1,0,0,,220220,5.34285675830152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,28
16001000,"Whites/mestizos",1960,0,1,0,18.4441931567997,20015100,7.30135776428073,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14
15001000,"Whites/mestizos",1967,0,1,0,17.6007579516762,2167140,6.33588696820192,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,21
